Id,Source,Target,Weight
1613,86,330,3
1614,318,86,2
1615,86,318,2
1616,340,86,2
1617,86,340,2
1618,1,87,1
1619,87,1,1
1620,2,87,5
1621,87,2,5
1622,88,87,2
1623,87,88,1
1624,97,87,2
1625,87,97,2
1626,101,87,5
1627,87,101,5
1628,37,87,1
1629,87,37,1
1630,5,87,1
1631,87,5,2
1632,64,87,4
1633,87,64,4
1634,6,87,6
1635,87,6,6
1636,107,87,2
1637,87,107,2
1638,108,87,1
1639,87,108,1
1640,109,87,3
1641,87,109,4
1642,338,87,2
1643,87,338,2
1644,7,87,1
1645,87,7,1
1646,110,87,1
1647,87,110,2
1648,65,87,1
1649,87,65,1
1650,341,87,3
1651,87,341,3
1652,70,87,1
1653,120,87,6
1654,87,120,7
